date,totalMinutesAsleep,totalTimeInBed,sleepEfficiency,startTime,endTime,deepSleep,lightSleep,remSleep,wake
2025-05-18,467,545,95,2025-05-18T03:06:30.000,2025-05-18T12:11:30.000,55,329,83,78
2025-05-20,470,550,92,2025-05-20T01:08:00.000,2025-05-20T10:18:00.000,53,317,100,80
2025-05-21,378,470,92,2025-05-21T01:58:00.000,2025-05-21T09:48:30.000,61,260,57,92
2025-05-22,517,612,90,2025-05-22T00:49:00.000,2025-05-22T11:01:00.000,123,335,59,95
2025-05-23,541,641,88,2025-05-23T01:29:30.000,2025-05-23T12:10:30.000,70,445,26,100
2025-05-24,486,582,94,2025-05-24T02:06:00.000,2025-05-24T11:48:30.000,56,383,47,96
